方法	矩阵规模	线程块大小	时间(ms)
row	512×512	8×8	2.651
column	512×512	8×8	4.474
block	512×512	8×8	2.658
row	512×512	16×16	1.861
column	512×512	16×16	7.951
block	512×512	16×16	1.852
row	512×512	32×32	2.399
column	512×512	32×32	14.877
block	512×512	32×32	2.393
row	1024×1024	8×8	22.234
column	1024×1024	8×8	38.277
block	1024×1024	8×8	22.203
row	1024×1024	16×16	14.932
column	1024×1024	16×16	62.307
block	1024×1024	16×16	14.902
row	1024×1024	32×32	18.035
column	1024×1024	32×32	117.006
block	1024×1024	32×32	18.100
row	2048×2048	8×8	174.459
column	2048×2048	8×8	283.027
block	2048×2048	8×8	174.622
row	2048×2048	16×16	118.749
column	2048×2048	16×16	497.853
block	2048×2048	16×16	118.777
row	2048×2048	32×32	142.870
column	2048×2048	32×32	926.561
block	2048×2048	32×32	142.842
