方法	矩阵规模	线程块大小	时间(ms)
RowReg	512×512	8×8	1.023
ColReg	512×512	8×8	1.029
BlockReg	512×512	8×8	1.020
RowReg	1024×1024	8×8	8.034
ColReg	1024×1024	8×8	8.099
BlockReg	1024×1024	8×8	8.031
RowReg	2048×2048	8×8	64.019
ColReg	2048×2048	8×8	64.542
BlockReg	2048×2048	8×8	64.026
RowReg	512×512	16×16	0.907
ColReg	512×512	16×16	0.934
BlockReg	512×512	16×16	0.900
RowReg	1024×1024	16×16	7.077
ColReg	1024×1024	16×16	7.151
BlockReg	1024×1024	16×16	7.076
RowReg	2048×2048	16×16	56.229
ColReg	2048×2048	16×16	56.397
BlockReg	2048×2048	16×16	56.234
RowReg	512×512	32×32	0.834
ColReg	512×512	32×32	0.984
BlockReg	512×512	32×32	0.832
RowReg	1024×1024	32×32	6.522
ColReg	1024×1024	32×32	7.093
BlockReg	1024×1024	32×32	6.527
RowReg	2048×2048	32×32	51.753
ColReg	2048×2048	32×32	55.020
BlockReg	2048×2048	32×32	51.680
