方法	矩阵规模	线程块大小	时间(ms)
RowShared	512×512	8×8	1.023
ColShared	512×512	8×8	1.762
BlockShared	512×512	8×8	1.018
RowShared	1024×1024	8×8	8.029
ColShared	1024×1024	8×8	13.993
BlockShared	1024×1024	8×8	8.035
RowShared	2048×2048	8×8	63.933
ColShared	2048×2048	8×8	110.628
BlockShared	2048×2048	8×8	64.015
RowShared	512×512	16×16	0.906
ColShared	512×512	16×16	2.772
BlockShared	512×512	16×16	0.908
RowShared	1024×1024	16×16	7.078
ColShared	1024×1024	16×16	22.091
BlockShared	1024×1024	16×16	7.078
RowShared	2048×2048	16×16	56.225
ColShared	2048×2048	16×16	174.939
BlockShared	2048×2048	16×16	56.229
RowShared	512×512	32×32	0.829
ColShared	512×512	32×32	4.955
BlockShared	512×512	32×32	0.831
RowShared	1024×1024	32×32	6.528
ColShared	1024×1024	32×32	39.046
BlockShared	1024×1024	32×32	6.518
RowShared	2048×2048	32×32	51.608
ColShared	2048×2048	32×32	310.436
BlockShared	2048×2048	32×32	51.734
