mode,input_size,block_size,time_ms
basic,256,8,1.183200
shared,256,8,0.957376 
reged,256,8,0.957248
basic,256,16,0.521568
shared,256,16,0.160512
reged,256,16,0.160992
basic,256,32,0.310912
shared,256,32,0.239872
reged,256,32,0.240448
basic,512,8,4.523072
shared,512,8,3.689632
reged,512,8,3.687648
basic,512,16,2.039072
shared,512,16,0.602752
reged,512,16,0.605600
basic,512,32,1.195552
shared,512,32,0.910976
reged,512,32,0.914336
basic,1024,8,18.620352
shared,1024,8,15.138240
reged,1024,8,15.132832
basic,1024,16,8.111392
shared,1024,16,2.373728
reged,1024,16,2.362528
basic,1024,32,4.743072
shared,1024,32,3.605504
reged,1024,32,3.610208
basic,2048,8,71.991425
shared,2048,8,58.759201
reged,2048,8,58.764416
basic,2048,16,32.387135
shared,2048,16,9.466272
reged,2048,16,9.422144
basic,2048,32,18.816704
shared,2048,32,14.418560
reged,2048,32,14.462080
basic,4096,8,297.127777
shared,4096,8,243.234552
reged,4096,8,242.133789
basic,4096,16,129.536194
shared,4096,16,37.743073
reged,4096,16,37.604095
basic,4096,32,75.479172
shared,4096,32,57.331966
reged,4096,32,57.349823
