mode,input_size,block_size,time_ms
row,256,16,161.171463
col,256,16,0.488576
block,256,16,0.522016
row,256,32,161.163712
col,256,32,0.285344
block,256,32,0.312672
row,256,64,161.137283
col,256,64,0.280992
block,256,64,0.002464
row,512,16,643.093445
col,512,16,1.929472
block,512,16,2.043648
row,512,32,643.273071
col,512,32,1.053792
block,512,32,1.195040
row,512,64,643.302734
col,512,64,1.048480
block,512,64,0.002912
row,1024,16,2571.609619
col,1024,16,7.689408
block,1024,16,8.112352
row,1024,32,2572.146729
col,1024,32,4.085824
block,1024,32,4.744064
row,1024,64,2571.700439
col,1024,64,4.150304
block,1024,64,0.003616
row,2048,16,10287.295898
col,2048,16,30.828735
block,2048,16,32.398335
row,2048,32,10284.288086
col,2048,32,16.236832
block,2048,32,18.803680
row,2048,64,10285.380859
col,2048,64,16.393312
block,2048,64,0.002656
row,4096,16,41200.011719
col,4096,16,123.283394
block,4096,16,129.522781
row,4096,32,41205.726562
col,4096,32,64.737762
block,4096,32,75.475616
row,4096,64,41211.000000
col,4096,64,65.060669
block,4096,64,0.004928
