Parallel Strategy,Strategy Description,Threads,Runtime (seconds),Speedup,Efficiency
0,dynamic scheduling,1,0.190259,1.0,1.0
0,dynamic scheduling,2,0.115078,1.653304715062827,0.8266523575314135
0,dynamic scheduling,4,0.127913,1.4874094110840963,0.3718523527710241
0,dynamic scheduling,8,0.271509,0.7007465682537227,0.08759332103171534
0,dynamic scheduling,16,0.616113,0.3088053652495565,0.01930033532809728
1,static scheduling,1,0.17182,1.0,1.0
1,static scheduling,2,0.109751,1.5655438219241737,0.7827719109620869
1,static scheduling,4,0.113469,1.5142461817765205,0.3785615454441301
1,static scheduling,8,0.607974,0.2826107695394869,0.03532634619243586
1,static scheduling,16,0.627892,0.273645786218012,0.01710286163862575
